,식료품 cpi,음식 및 숙박 cpi,year,month
0,99.95,101.06,2015,12
1,100.76,101.4,2016,1
2,103.43,101.67,2016,2
3,102.25,101.98,2016,3
4,102.3,102.26,2016,4
5,101.24,102.4,2016,5
6,99.66,102.5,2016,6
7,99.65,102.74,2016,7
8,101.02,102.91,2016,8
9,105.94,102.92,2016,9
10,104.48,103.02,2016,10
11,102.93,103.07,2016,11
12,104.02,103.27,2016,12
13,107.16,103.75,2017,1
14,107.26,104.02,2017,2
15,106.32,104.31,2017,3
16,105.19,104.49,2017,4
17,104.85,104.8,2017,5
18,104.09,104.87,2017,6
19,104.39,105.2,2017,7
20,107.5,105.5,2017,8
21,108.84,105.36,2017,9
22,106.16,105.57,2017,10
23,103.2,105.67,2017,11
24,104.44,106.07,2017,12
25,106.0,106.55,2018,1
26,109.07,106.94,2018,2
27,107.32,107.29,2018,3
28,107.86,107.7,2018,4
29,106.85,108.07,2018,5
30,105.48,108.17,2018,6
31,105.8,108.52,2018,7
32,111.34,108.76,2018,8
33,115.2,108.58,2018,9
34,112.16,108.74,2018,10
35,108.67,108.96,2018,11
36,108.86,109.35,2018,12
37,108.8,109.7,2019,1
38,109.54,109.89,2019,2
39,108.48,109.63,2019,3
40,109.4,109.8,2019,4
41,108.83,110.01,2019,5
42,107.64,110.11,2019,6
43,106.68,110.35,2019,7
44,107.7,110.64,2019,8
45,110.52,110.09,2019,9
46,110.74,110.27,2019,10
47,107.89,110.29,2019,11
48,109.01,110.45,2019,12
49,110.81,110.97,2020,1
50,110.27,110.93,2020,2
51,111.26,110.82,2020,3
52,111.29,110.9,2020,4
53,111.48,110.86,2020,5
54,111.18,110.95,2020,6
55,111.28,111.13,2020,7
56,114.78,111.35,2020,8
57,119.68,111.25,2020,9
58,119.82,111.51,2020,10
59,115.35,111.41,2020,11
60,115.79,111.67,2020,12
61,118.04,111.96,2021,1
62,120.97,112.26,2021,2
63,120.61,112.42,2021,3
64,120.34,112.93,2021,4
65,119.7,113.11,2021,5
66,118.43,113.37,2021,6
